year;month;day;weekday;hour;city;neighborhood;nature;victim_age;gender;ethnicity
2022;3;14;SEGUNDA;15;ALMIRANTE TAMANDARE;CACHOEIRA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);60;M;BRANCA
2022;3;19;SABADO;16;ALMIRANTE TAMANDARE;CACHOEIRA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);36;M;PARDA
2022;3;20;DOMINGO;0;ALMIRANTE TAMANDARE;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);31;M;BRANCA
2022;3;23;QUARTA;15;ALMIRANTE TAMANDARE;PACOTUBA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);24;M;BRANCA
2022;3;26;SABADO;5;ALMIRANTE TAMANDARE;HUMAITA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);41;M;PARDA
2022;3;29;TERCA;7;ALMIRANTE TAMANDARE;CACHOEIRA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);35;M;BRANCA
2022;4;2;SABADO;6;ALMIRANTE TAMANDARE;PACOTUBA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);17;M;BRANCA
2022;4;18;SEGUNDA;9;ALMIRANTE TAMANDARE;LAMENHA PEQUENA;Praticar Homicídio Culposo na Direção de Veículo;73;F;BRANCA
2022;6;3;SEXTA;22;ALMIRANTE TAMANDARE;BONFIM;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);45;M;PRETA
2022;6;5;DOMINGO;23;ALMIRANTE TAMANDARE;CAMPINA DO ARRUDA;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;27;M;BRANCA
2022;7;5;TERCA;16;ALMIRANTE TAMANDARE;CACHOEIRA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);44;M;BRANCA
2022;7;8;SEXTA;7;ALMIRANTE TAMANDARE;COLONIA SAO VENANCIO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);25;M;
2022;7;11;SEGUNDA;21;ALMIRANTE TAMANDARE;CACHOEIRA;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;17;M;PARDA
2022;7;11;SEGUNDA;21;ALMIRANTE TAMANDARE;CACHOEIRA;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;20;M;BRANCA
2022;7;11;SEGUNDA;21;ALMIRANTE TAMANDARE;CACHOEIRA;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;21;M;BRANCA
2022;7;11;SEGUNDA;21;ALMIRANTE TAMANDARE;CACHOEIRA;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;22;M;BRANCA
2022;7;25;SEGUNDA;19;ALMIRANTE TAMANDARE;TANGUA;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;26;M;BRANCA
2022;7;27;QUARTA;2;ALMIRANTE TAMANDARE;HUMAITA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);25;F;BRANCA
2022;7;31;DOMINGO;4;ALMIRANTE TAMANDARE;BONFIM;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);33;M;PARDA
2022;7;31;DOMINGO;20;ALMIRANTE TAMANDARE;LAMENHA GRANDE;Praticar Homicídio Culposo na Direção de Veículo;24;M;BRANCA
2022;7;31;DOMINGO;20;ALMIRANTE TAMANDARE;LAMENHA GRANDE;Praticar Homicídio Culposo na Direção de Veículo;47;F;BRANCA
